timestamp,gravity,angle,temperature,temp_units,battery,interval,name,ID,RSSI,token
2025-02-11 16:26:07,26.61,76.24,20.81,C,4.11,10,SpinHydro,6548473,-62,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:26:18,26.61,76.24,20.81,C,4.11,10,SpinHydro,6548473,-62,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:26:30,26.62,76.25,20.75,C,4.11,10,SpinHydro,6548473,-60,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:26:41,26.62,76.26,20.75,C,4.11,10,SpinHydro,6548473,-61,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:26:52,26.62,76.26,20.81,C,4.11,10,SpinHydro,6548473,-61,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:03,26.62,76.26,20.75,C,4.11,10,SpinHydro,6548473,-61,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:14,26.63,76.28,20.75,C,4.11,10,SpinHydro,6548473,-62,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:25,26.62,76.27,20.75,C,4.11,10,SpinHydro,6548473,-60,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:36,26.63,76.27,20.75,C,4.11,10,SpinHydro,6548473,-61,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:48,26.64,76.30,20.75,C,4.11,10,SpinHydro,6548473,-57,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:27:59,26.64,76.30,20.75,C,4.11,10,SpinHydro,6548473,-60,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:28:10,26.64,76.30,20.75,C,4.11,10,SpinHydro,6548473,-62,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:28:23,26.64,76.30,20.75,C,4.10,10,SpinHydro,6548473,-57,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:28:34,26.64,76.30,20.81,C,4.10,10,SpinHydro,6548473,-60,8hyLBUGgsPvEzoDyJpzu
2025-02-11 16:28:46,26.65,76.31,20.81,C,4.11,10,SpinHydro,6548473,-59,8hyLBUGgsPvEzoDyJpzu
